Symbol,ISIN,Sector,Quantity Available,Quantity Discrepant,Quantity Long Term,Quantity Pledged (Margin),Quantity Pledged (Loan),Average Price,Previous Closing Price,Unrealized P&L,Unrealized P&L Pct.
AFFLE.NS,INE00WC01019,Communication Services,1,0,0,0,0,4418.6,4177.95,-240.65,-5.4463
ASIANPAINT.NS,INE021A01026,Materials,7,0,7,0,0,1756.0357,2968.65,8488.3,69.0541
BAJAJFINSV.NS,INE918I01018,Financials,1,0,1,0,0,5881.35,14005.65,8124.3,138.1367
BAJFINANCE.NS,INE296A01024,Financials,5,0,5,0,0,2035.55,6224.3,20943.75,205.7798
DEEPAKNTR.NS,INE288B01029,Materials,5,0,0,0,0,1717.55,2120.45,2014.5,23.4578
DIXON.NS,INE935N01020,Others,1,0,0,0,0,3907,4288.8,381.8,9.7722
HDFCBANK.NS,INE040A01034,Financials,6,0,6,0,0,930,1493.7,3382.2,60.6129
INFY.NS,INE009A01021,Information Technology,5,0,5,0,0,734.15,1650.35,4581,124.7974
INTELLECT.NS,INE306R01017,Information Technology,8,0,0,0,0,421.75,721.7,2399.6,71.1203
NAUKRI.NS,INE663F01024,Communication Services,2,0,0,0,0,5283,5390.75,215.5,2.0396
RELAXO.NS,INE131B01039,Consumer Discretionary,8,0,8,0,0,676,1141.85,3726.8,68.9127
SBICARD.NS,INE018E01016,Financials,19,0,19,0,0,755,1018.9,5014.1,34.9536
TATAELXSI.NS,INE670A01012,Information Technology,4,0,0,0,0,2848.3,4229.45,5524.6,48.4903
TATAMOTORS.NS,INE155A01022,Consumer Discretionary,25,0,0,0,0,337.25,300.05,-930,-11.0304
